id,Name,Segments,Categories,Incorporation year,Launch year,Ownership type,Incorporation Country,Operational HQ,Number of employees,Cessation date,Cessation of op. reason,Acquisition status,Status
785,Chime,"Digital Savings, WealthTech, Digital Payments","Digital Micro Saving Solutions, Personal Financial Management / Planning, Money Transfer (P2P / P2B / B2P / B2B)",2012.0,2014,Private,United States,United States,1001-5000,,,,Active
786,Chimera Technologies,Enterprise Tech Provisioning,Financial Management & Business Intelligence,2001.0,2014,Private,India,India,51-200,,,,Active
787,Chimp,Digital Capital Raising,Donation-Based Crowdfunding,2008.0,2011,Private,Canada,Portugal,6,,,,Active
788,China UnionPay Merchant Services,InsurTech,Digital Brokers or Agents,2002.0,2002,Private,China,China,1001-5000,,,,Active
789,Chip Chap,"Digital Payments, Cryptoasset Exchange","Payment Aggregators, Bitcoin Teller Machines (BTM), API Interface",2014.0,2015,Private,Spain,Spain,,2018.0,,,Inactive
790,Chipper Cash,Digital Payments,"Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P), Money Transfer (P2P / P2B / B2P / B2B), Top-ups & Refills, Mobile Money, Points of Access (PoS / mPoS / Online PoS), Payment Gateways, API Hubs for Payments",2014.0,2017,Private,United States,United States,51-200,,,,Active
791,CHITA,Digital Lending,"Invoice Trading, Balance Sheet Business Lending",2015.0,2015,Private,Chile,United States,30,,,,Active
792,ChitMonks,Enterprise Tech Provisioning,Enterprise Blockchain,2016.0,2016,Private,India,India,Nov-50,,,,Active
793,Chivo,"Cryptoasset Exchange, Digital Payments","Bitcoin Teller Machines (BTM), Money Transfer (Cryptoasset)",2021.0,2021,Private,El Salvador,El Salvador,51-200,,,,Active
794,Choice by KT,Digital Custody,"Third-Party Custody, Hosted Cryptoasset Wallet",2010.0,2009,Private,United States,United States,51-200,,,,Active
795,Chongqing Fumin Bank,Digital Banks,"Fully Digitally Native Bank (Retail), Fully Digitally Native Bank (MSME)",2016.0,2017,Private,China,China,201-500,,,,Active
796,Chqbook,"WealthTech, InsurTech, Digital Banks, Enterprise Tech Provisioning, Digital Payments, Digital Lending","Financial Comparison Sites, Personal Financial Management / Planning, Digital Brokers or Agents, Agent Banking (Cash-In / Cash-Out), Fully Digitally Native Bank (Retail), Financial Management & Business Intelligence, Money Transfer (P2P / P2B / B2P / B2B), Balance Sheet Business Lending, Balance Sheet Consumer Lending",2016.0,2017,Private,India,India,51-200,,,,Active
797,Chuffed.org,Digital Capital Raising,Donation-Based Crowdfunding,2013.0,2013,Private,Australia,Australia,6,,,,Active
798,chura.co.ke,Digital Payments,"Top-ups & Refills, Bulk Payment Solutions, Money Transfer (P2P / P2B / B2P / B2B)",,2013,Private,Kenya,Kenya,10-Jan,,,,Active
799,Churpy,"Digital Payments, Enterprise Tech Provisioning","API Hubs for Payments, Money Transfer (P2P / P2B / B2P / B2B), Electronic Invoicing",2020.0,2021,Private,United States,Kenya,10-Jan,,,,Active
800,Chynge,Digital Payments,"Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P)",2015.0,2016,Private,Singapore,Singapore,Nov-50,,,,Active
801,Cicil.co.id,Digital Lending,"Customer Cash-Advance, Balance Sheet Consumer Lending",2016.0,2017,Private,Indonesia,Indonesia,51-200,,,,Active
802,Cinnamon AI,Enterprise Tech Provisioning,AI / ML / NLP,2016.0,2016,Private,Japan,Japan,51-200,,,,Active
803,CipherTrace,RegTech,"KYC & AML, Compliance, Blockchain Forensics",2015.0,2016,Private,United States,United States,,,,,Active
804,Ciphrex,Digital Custody,"Sub-segment protocols / construction, Unhosted Cryptoasset Wallet",2014.0,2014,Private,United States,United States,10,,,,Active
805,Circle,Digital Payments,Asset-Backed Stablecoin,2013.0,2014,Private,Ireland,United States,270,,,,Active
806,Circle FinTech,Digital Banks,Banking-as-a-Service (BaaS),2018.0,2017,Private,Bangladesh,Bangladesh,Nov-50,,,,Active
807,CircleUp,Digital Lending,P2P / Marketplace Consumer Lending,2012.0,2012,Private,United States,United States,176,,,,Active
808,Citius,Enterprise Tech Provisioning,"Cloud Computing, Financial Management & Business Intelligence",,2018,Private,Kenya,Kenya,10-Jan,,,,Active
809,Citizinvestor,Digital Capital Raising,Donation-Based Crowdfunding,2013.0,2013,Private,United States,United States,30,,,,Active
810,Citrus Pay,"Digital Payments, Digital Custody","Payment Gateways, eMoney Wallet",2011.0,2011,Private,India,India,,2016.0,,,Inactive
811,CityCash,Digital Payments,"Money Transfer (P2P / P2B / B2P / B2B), Points of Access (PoS / mPoS / Online PoS)",2017.0,2018,Private,India,India,Nov-50,,,,Active
812,Civic,Digital Custody,"KYC & AML, Unhosted Cryptoasset Wallet",2015.0,2016,Private,United States,United States,,,,,Active
813,Civislend,Digital Capital Raising,Real Estate Crowdfunding,2016.0,2017,Private,Spain,Spain,10-Jan,,,,Active
814,CKPool,Consensus Services,Pool Operation,2014.0,2014,Private,Unidentified,Unidentified,,,,,Active
815,CLARA Analytics,InsurTech,Claims & Risk Management Solutions,2017.0,2016,Private,United States,United States,Nov-50,,,,Active
816,Clarity Money,"WealthTech, Digital Savings","Personal Financial Management / Planning, Digital Micro Saving Solutions",2016.0,2016,Private,United States,United States,Nov-50,2021.0,,,Inactive
817,Clark ,"InsurTech, WealthTech","Comparison Portal, Robo-Advisors, Digital Wealth Management",2015.0,2015,Private,Germany,Germany,201-500,,,,Active
818,Clear,"WealthTech, Enterprise Tech Provisioning","Personal Financial Management / Planning, Financial Comparison Sites, Financial Management & Business Intelligence, Electronic Invoicing",2016.0,2011,Private,India,India,1001-5000,,,,Active
819,ClearBank,"Digital Banks, Digital Payments","Banking-as-a-Service (BaaS), API Hubs for Payments, Payment Gateways, Settlement & Clearing Services Providers, Points of Access (PoS / mPoS / Online PoS)",2015.0,2014,Private,United Kingdom,United Kingdom,51-200,,,,Active
820,Clearco,Digital Lending,Merchant Cash-Advance,2015.0,2015,Private,Canada,Canada,201-500,,,,Active
821,Clearcover,InsurTech,Parametric-Based Insurance,2016.0,2018,Private,United States,United States,201-500,,,,Active
822,ClearGlass,"RegTech, WealthTech","Regulatory Reporting, Personal Financial Management / Planning, Data aggregation",2018.0,2018,Private,United Kingdom,United Kingdom,23,,,,Active
823,ClearScore,"Alternative Credit Analytics, WealthTech","Credit Scoring, Personal Financial Management / Planning, Financial Comparison Sites",2014.0,2015,Private,United Kingdom,United Kingdom,201-500,,,,Active
824,CLEARTRACK,"RegTech, Enterprise Tech Provisioning, Digital Payments","Dynamic Compliance, Risk Analytics, Regulatory Reporting, Profiling & Due Diligence, Financial Management & Business Intelligence, Settlement & Clearing Services Providers, Investment advisory",2013.0,2013,Private,United States,United States,Nov-50,,,,Active
825,Cleo,"WealthTech, Digital Savings, Digital Lending, Digital Payments","Personal Financial Management / Planning, Digital Micro Saving Solutions, Customer Cash-Advance, Money Transfer (P2P / P2B / B2P / B2B)",2015.0,2016,Private,United Kingdom,United Kingdom,51-200,,,,Active
826,CleverCards,"Digital Payments, Enterprise Tech Provisioning","Money Transfer (P2P / P2B / B2P / B2B), Top-ups & Refills, Financial Management & Business Intelligence",2011.0,2019,Private,Ireland,Ireland,Nov-50,,,,Active
827,CleverCoin,Cryptoasset Exchange,Order-Book,2014.0,2013,Private,Netherlands,Netherlands,,2016.0,,,Inactive
828,ClicInvest,Digital Lending,P2P / Marketplace Business Lending,2015.0,2015,Private,Portugal,Portugal,6,,,,Active
829,Click & Pay,Digital Payments,Money Transfer (P2P / P2B / B2P / B2B),2015.0,2016,Private,India,India,Nov-50,2017.0,,,Inactive
830,Clim8 Invest,WealthTech,"Digital Wealth Management, Personal Financial Management / Planning",2019.0,2020,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
831,Clip,Digital Payments,"Points of Access (PoS / mPoS / Online PoS), Top-ups & Refills",2013.0,2013,Private,Mexico,Mexico,501-1000,,,,Active
832,CloudMargin,"RegTech, Enterprise Tech Provisioning","Risk Analytics, Financial Management & Business Intelligence",2013.0,2013,Private,United Kingdom,United Kingdom,51-200,,,,Active
833,CloudWalk ,"Digital Payments, Enterprise Tech Provisioning","Acquiring Services Providers for Merchants, Asset-Backed Stablecoin, Digital Accounting, Financial Management & Business Intelligence, Enterprise Blockchain",2014.0,2019,Private,United States,Brazil,201-500,,,,Active
834,clubfolio,WealthTech,Social Trading,2019.0,2021,Private,India,India,10-Jan,,,,Active
835,Clubfunding,Digital Capital Raising,"Real Estate Crowdfunding, Revenue / Profit Share Crowdfunding",2014.0,2015,Private,France,France,Nov-50,,,,Active
836,Clyde,InsurTech,"Usage-Based Insurance, Digital Brokers or Agents, Claims & Risk Management Solutions",2017.0,2017,Private,United States,United States,Nov-50,,,,Active
837,Coalition,"Digital Identity, Enterprise Tech Provisioning, InsurTech","Fraud Prevention & Risk Management, Financial Management & Business Intelligence, Parametric-Based Insurance, Digital Brokers or Agents, Education and Training",2017.0,2017,Private,United States,United States,201-500,,,,Active
838,CoAssets,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Property Lending",2013.0,2013,Public,Singapore,Singapore,6,,,,Active
839,Cobase ,Digital Banks,"Marketplace Bank (Retail), Marketplace Bank (MSME)",2017.0,2017,Private,Netherlands,Netherlands,51-200,,,,Active
840,Cobrotech,"Enterprise Tech Provisioning, RegTech","AI / ML / NLP, Electronic Invoicing, Digital Accounting, Financial Management & Business Intelligence, Dynamic Compliance",2016.0,2016,Private,Chile,Chile,2,,,,Active
841,Coconut,Enterprise Tech Provisioning,"Digital Accounting, Electronic Invoicing",2015.0,2018,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
842,Codat,Enterprise Tech Provisioning,API Management,2016.0,2017,Private,United Kingdom,United Kingdom,51-200,,,,Active
843,CoFundie,Digital Capital Raising,"Real Estate Crowdfunding, Revenue / Profit Share Crowdfunding",2019.0,2019,Private,Ghana,Ghana,4,,,,Active
844,Cognitive View,"Enterprise Tech Provisioning, RegTech","AI / ML / NLP, Enterprise Blockchain, Regulatory Reporting, Dynamic Compliance, Risk Analytics",2018.0,2018,Private,Australia,Australia,12,,,,Active
845,Cognito,Digital Identity,"KYC Solutions, Fraud Prevention & Risk Management, KYC & AML",2013.0,2014,Private,United States,United States,67,,,,Active
846,CoGo,WealthTech,"Digital Wealth Management, Advocacy, Education and Training",2016.0,2019,Private,New Zealand,New Zealand,51-200,,,,Active
847,Cogress,Digital Capital Raising,Real Estate Crowdfunding,2014.0,2014,Private,United Kingdom,United Kingdom,,,,,Active
848,Coin Loft,Cryptoasset Exchange,Retail Brokerage Services,2012.0,2014,Private,Australia,Australia,,,,,Active
849,Coin Republic,Cryptoasset Exchange,Retail Brokerage Services,2009.0,2013,Private,Singapore,Singapore,,2015.0,,,Inactive
850,Coin Sciences,Enterprise Tech Provisioning,"Enterprise Blockchain, Notarisation, Block Explorers",2014.0,2014,Private,United Kingdom,Israel,,2015.0,,,Inactive
851,Coin-Swap,Cryptoasset Exchange,Order-Book,2014.0,2013,Private,Unidentified,United States,2,2015.0,,,Inactive
852,Coin.co,Digital Payments,Payment processor,2014.0,2014,Private,United States,United States,,2017.0,,,Inactive
853,Coin.mx,"Digital Payments, Cryptoasset Exchange","Payment processor, Order-Book",,2014,Private,United States,United States,,2015.0,,,Inactive
854,Coinabul,Cryptoasset Exchange,Retail Brokerage Services,2010.0,2011,Private,United States,United States,10-Jan,2015.0,,,Inactive
855,Coinage,Cryptoasset Exchange,Order-Book,2017.0,2017,Private,Japan,Japan,,2020.0,,,Inactive
856,Coinapult,"Digital Custody, Cryptoasset Exchange, Digital Payments","Hosted Cryptoasset Wallet, Retail Brokerage Services, Payment processor",2012.0,2012,Private,United States,United States,,2018.0,,,Inactive
857,Coinarch,Cryptoasset Exchange,Order-Book,2014.0,2014,Private,Singapore,Singapore,,2015.0,,,Inactive
858,Coinbase,"Cryptoasset Exchange, Digital Custody, Digital Payments, Enterprise Tech Provisioning, Consensus Services","Retail Brokerage Services, Order-Book, Institutional Brokerage Services, Single Dealer Platform / OTC Trading, Hosted Cryptoasset Wallet, Payment processor, Points of Access (Cryptoasset), API Hubs for Payments, Money Transfer (Cryptoasset), Asset-Backed Stablecoin, Consumer Spending, API Management, Cloud Computing, Staking-as-a-Service, Education and Training",2012.0,2012,Public,United States,United States,1001-5000,,,,Active
859,Coincheck,"Cryptoasset Exchange, Digital Payments, Digital Custody","Order-Book, Payment processor, Hosted Cryptoasset Wallet, Money Transfer (Cryptoasset), Lending / Borrowing, Single Dealer Platform / OTC Trading",2012.0,2014,Private,Japan,Japan,168,,,,Active
860,CoinCorner,"Digital Payments, Cryptoasset Exchange","Payment processor, Order-Book, Consumer Spending",2014.0,2014,Private,United Kingdom,United Kingdom,,,,,Active
861,Coincube,Cryptoasset Exchange,"Portfolio management, Aggregation",2014.0,2015,Private,United States,United States,4,2017.0,,,Inactive
862,CoinDCX,Cryptoasset Exchange,"Order-Book, Retail Brokerage Services, Market data, Lending / Borrowing, Advanced Trading Services",2018.0,2018,Private,India,Singapore,,,,,Active
863,Coindelta,"Cryptoasset Exchange, Digital Custody","Order-Book, Co-Managed Custody",2017.0,2017,Private,India,India,Nov-50,2019.0,,,Inactive
864,CoinEX,Cryptoasset Exchange,"Order-Book, Advanced Trading Services, Decentralised Exchange (DEX) Relayer, Sub-segment protocols / construction",2017.0,2017,Private,Estonia,"Hong Kong SAR, China",,,,,Active
865,Coinffeine,Cryptoasset Exchange,"P2P Cryptoasset Marketplaces, Single Dealer Platform / OTC Trading",2013.0,2015,Private,Spain,Spain,,,,,Active
866,Coinfinity,"Cryptoasset Exchange, Digital Payments, Digital Custody","Business consulting, Retail Brokerage Services, Bitcoin Teller Machines (BTM), Payment processor, Single Dealer Platform / OTC Trading, Unhosted Cryptoasset Wallet",2014.0,2014,Private,Austria,Austria,,,,,Active
867,CoinFLEX,Cryptoasset Exchange,Advanced Trading Services,,2019,Private,Seychelles,"Hong Kong SAR, China",,,,,Active
868,Coinfloor,"Cryptoasset Exchange, Digital Custody","Order-Book, Single Dealer Platform / OTC Trading, Third-Party Custody, Hosted Cryptoasset Wallet",2013.0,2013,Private,United Kingdom,United Kingdom,19,,,,Active
869,CoinGate,"Digital Payments, Cryptoasset Exchange","Payment processor, Consumer Spending, Top-ups & Refills, Bulk Payment Solutions, Payment Gateways, Order-Book",2014.0,2015,Private,Lithuania,Lithuania,30,,,,Active
870,CoinHako,"Cryptoasset Exchange, Digital Custody","Retail Brokerage Services, Hosted Cryptoasset Wallet, Single Dealer Platform / OTC Trading",2013.0,2014,Private,Singapore,Singapore,Nov-50,,,,Active
871,Coinhills,Cryptoasset Exchange,"Aggregation, Directories, Market data, Data aggregation",,2014,Private,Unidentified,"Korea, Rep.",,,,,Active
872,Coinify,"Cryptoasset Exchange, Digital Payments","Retail Brokerage Services, Payment processor, Single Dealer Platform / OTC Trading",2014.0,2014,Private,Denmark,Denmark,40,,,,Active
873,Coinigy,Cryptoasset Exchange,"Aggregation, Portfolio management",2014.0,2014,Private,United States,United States,20,,,,Active
874,Coinizy,"Cryptoasset Exchange, Digital Payments","Retail Brokerage Services, Consumer Spending",2014.0,2012,Private,Canada,Canada,,2017.0,,,Inactive
875,CoinJar,"Cryptoasset Exchange, Digital Payments, Digital Custody","Retail Brokerage Services, Payment processor, Hosted Cryptoasset Wallet, Consumer Spending, Portfolio management, Order-Book, Third-Party Custody, Single Dealer Platform / OTC Trading, API Interface",2013.0,2013,Private,Australia,United Kingdom,15,,,,Active
876,Coinkite,"Digital Payments, Digital Custody","Payment processor, Hardware Cryptoasset Wallet, Consumer Spending",2011.0,2013,Private,Canada,Canada,2,,,,Active
877,Coinlend,Enterprise Tech Provisioning,"AI / ML / NLP, Lending / Borrowing, Application development",2017.0,2017,Private,Germany,Germany,10-Jan,,,,Active
878,CoinList,"Digital Capital Raising, Cryptoasset Exchange, Consensus Services","Token Hosting Platform, Order-Book, Staking-as-a-Service, Retail Brokerage Services",2017.0,2017,Private,United States,United States,,,,,Active
879,CoinLoan,Cryptoasset Exchange,"Lending / Borrowing, P2P Cryptoasset Marketplaces",2018.0,2018,Private,Estonia,Estonia,,,,,Active
880,CoinMama,Cryptoasset Exchange,Retail Brokerage Services,2013.0,2013,Private,Israel,Israel,Nov-50,,,,Active
881,Coinmarketcap,Cryptoasset Exchange,"Aggregation, Market data, Block Explorers, API Interface",2018.0,2013,Private,United States,United States,Nov-50,,,,Active
