Name,Segments,Categories,Incorporation year,Launch year,Ownership type,Incorporation Country,Operational HQ,Number of employees,Cessation date,Cessation of op. reason,Acquisition status,Status
Defi Dollar,Digital Payments,Algorithmic Stablecoin,2020,2021,Private,India,Unidentified,10-Jan,,,,Active
DeFiner,"Digital Lending, Cryptoasset Exchange, Digital Savings","P2P / Marketplace Consumer Lending, P2P Cryptoasset Marketplaces, Digital Savings Collective / Pool",2018,2018,Private,United States,United States,10-Jan,,,,Active
Deitscho,Digital Capital Raising,Real Estate Crowdfunding,2013,2013,Private,United States,United States,6,,,,Active
Deliverect ,"Digital Payments, Enterprise Tech Provisioning","Payment Aggregators, API Hubs for Payments, Financial Management & Business Intelligence",2018,2018,Private,Belgium,Belgium,201-500,,,,Active
Democrance,InsurTech,"Digital Brokers or Agents, Customer Management, Claims & Risk Management Solutions",2016,2015,Private,United Kingdom,United Arab Emirates,15,,,,Active
Deposit Solutions,Digital Banks,Marketplace Bank (MSME),2011,2017,Private,Germany,Germany,201-500,,,,Active
DeRev,Digital Capital Raising,"Reward-Based Crowdfunding, Donation-Based Crowdfunding, Community Shares",2012,2013,Private,Italy,Italy,30,,,,Active
Deribit,Cryptoasset Exchange,Order-Book,2019,2016,Private,Panama,Panama,17,,,,Active
Descartes Underwriting,InsurTech,"Parametric-Based Insurance, IoT (including Telematics)",2018,2019,Private,France,France,201-500,,,,Active
Deserve,Digital Payments,Money Transfer (P2P / P2B / B2P / B2B),2012,2013,Private,United States,United States,51-200,,,,Active
DestÃ¡came,"Alternative Credit Analytics, WealthTech","Credit Scoring, Financial Comparison Sites",2014,2014,Private,Chile,Chile,65,,,,Active
Detente Technologies ,Enterprise Tech Provisioning,"Financial Management & Business Intelligence, Digital Accounting",2014,2016,Private,India,Qatar,10-Jan,,,,Active
Detroit soup,Digital Capital Raising,Donation-Based Crowdfunding,2010,2010,Private,United States,United States,30,,,,Active
DeversiFi,"Cryptoasset Exchange, Digital Capital Raising","Decentralised Exchange (DEX) Relayer, Single Dealer Platform / OTC Trading, Token Hosting Platform",2017,2018,Private,British Virgin Islands,United Kingdom,Nov-50,,,,Active
Dex,"Cryptoasset Exchange, Digital Custody","Retail Brokerage Services, Institutional Brokerage Services, Order-Book, Hosted Cryptoasset Wallet",2019,2021,Private,United Arab Emirates,United Arab Emirates,Nov-50,,,,Active
Dext,Enterprise Tech Provisioning,"AI / ML / NLP, Digital Accounting",2010,2009,Private,United Kingdom,United Kingdom,201-500,,,,Active
Dezerv,Cryptoasset Exchange,Advanced Trading Services,2021,2021,Private,India,India,51-200,,,,Active
Dhanipay,"Digital Lending, Digital Payments, Enterprise Tech Provisioning","Customer Cash-Advance, Top-ups & Refills, eMoney Issuers, Money Transfer (P2P / P2B / B2P / B2B), Digital Accounting, Financial Management & Business Intelligence",2010,2010,Private,India,India,,,,,Active
Diacle,RegTech,"Dynamic Compliance, Compliance, Regulatory",2013,2013,Private,United Kingdom,United Kingdom,,,,,Active
Diaman Tech,WealthTech,"Digital Wealth Management, Robo-Advisors, Social Trading",,2012,Private,Italy,Italy,10-Jan,,,,Active
Dianrong,Digital Lending,P2P / Marketplace Consumer Lending,2013,2013,Private,China,China,3000,,,,Active
Dianrong Digital Technology,Digital Lending,P2P / Marketplace Business Lending,2014,2014,Private,China,China,,,,,Active
Different,Digital Capital Raising,Donation-Based Crowdfunding,2016,2016,Private,South Africa,Australia,6,,,,Active
digiduka,"Digital Payments, Enterprise Tech Provisioning","Payment Aggregators, Acquiring Services Providers for Merchants, Points of Access (PoS / mPoS / Online PoS), Financial Management & Business Intelligence",2019,2020,Private,United States,Kenya,10-Jan,,,,Active
Digifin,Enterprise Tech Provisioning,Digital Accounting,,2016,Private,India,India,51-200,2021,,,Inactive
Diginex,"Cryptoasset Exchange, Digital Custody","Retail Brokerage Services, Single Dealer Platform / OTC Trading, Third-Party Custody, Aggregation, Portfolio management",,2017,Public,"Hong Kong SAR, China","Hong Kong SAR, China",,,,,Active
DigiSparsh,Digital Lending,Invoice Trading,2020,2020,Private,India,India,10-Jan,,,,Active
"DIGISURE INSURANCE SOLUTIONS, INC.",InsurTech,Usage-Based Insurance,2018,2018,Private,United States,United States,Nov-50,,,,Active
Digit,"Digital Savings, WealthTech","Digital Micro Saving Solutions, Personal Financial Management / Planning",2012,2014,Private,United States,United States,51-200,,,,Active
Digit Insurance,InsurTech,"Usage-Based Insurance, Claims & Risk Management Solutions",2016,2017,Private,India,India,1001-5000,,,,Active
Digital Asset,Enterprise Tech Provisioning,"Enterprise Blockchain, API Management",2014,2019,Private,United States,United States,51-200,,,,Active
Digital ID,Digital Identity,Security & Biometrics,2018,2019,Private,Kazakhstan,Kazakhstan,Nov-50,,,,Active
Digital India Payments Limited,Digital Payments,"Money Transfer (P2P / P2B / B2P / B2B), Mobile Money, Top-ups & Refills, Digital Remittances (Domestic-P2P), Digital Remittances (Cross Border-P2P)",2013,2013,Private,India,India,201-500,,,,Active
Digital Wallet,"Digital Payments, Enterprise Tech Provisioning","Money Transfer (P2P / P2B / B2P / B2B), Digital Remittances (Domestic-P2P), Digital Remittances (Cross Border-P2P), Cloud Computing, Marketing services",2014,2017,Private,Japan,Japan,51-200,,,,Active
digitalexchange.id,Cryptoasset Exchange,Order-Book,,2018,Private,Indonesia,Indonesia,Nov-50,,,,Active
Digix,Digital Payments,Asset-Backed Stablecoin,2014,2014,Private,Singapore,Singapore,Nov-50,2022,,,Active
Dinero Full,Digital Lending,"P2P / Marketplace Consumer Lending, Balance Sheet Consumer Lending",,2018,Private,Unidentified,Argentina,,,,,Active
Dinie,Digital Lending,Balance Sheet Business Lending,,2020,Private,Brazil,Brazil,Nov-50,,,,Active
Direct Lending,Digital Lending,P2P / Marketplace Consumer Lending,2016,2018,Private,Malaysia,Malaysia,Nov-50,,,,Active
DirectPay,"Digital Payments, Digital Lending","Money Transfer (P2P / P2B / B2P / B2B), Balance Sheet Business Lending",2004,1997,Private,United States,United States,Nov-50,,,,Active
Discovery Nusantara Capital,Digital Lending,Balance Sheet Business Lending,2016,2016,Private,Indonesia,Indonesia,,,,,Active
DISTICHAIN LIMITED,WealthTech,"Digital Wealth Management, Social Trading, Robo-Advisors",2021,2019,Private,United Kingdom,United Kingdom,10-Jan,,,,Active
Dividom,Digital Capital Raising,Real Estate Crowdfunding,2013,2014,Private,France,France,6,,,,Active
Divvy ,"Enterprise Tech Provisioning, Digital Banks, Digital Lending","Digital Accounting, Electronic Invoicing, Financial Management & Business Intelligence, Agent Banking (Cash-In / Cash-Out), Balance Sheet Business Lending",2016,2017,Private,United States,United States,201-500,,,,Active
DizzitUp,Digital Payments,"Top-ups & Refills, Bulk Payment Solutions, Mobile Money",2018,2018,Private,France,France,10-Jan,,,,Active
Djamo,"Digital Banks, Digital Payments","Fully Digitally Native Bank (Retail), Money Transfer (P2P / P2B / B2P / B2B)",,2019,Private,Cote D'Ivoire,Cote D'Ivoire,Nov-50,,,,Active
DMI Finance,"Digital Lending, WealthTech","Balance Sheet Business Lending, Balance Sheet Consumer Lending, Balance Sheet Property Lending, Digital Wealth Management",2008,2009,Private,India,India,501-1000,,,,Active
Do,Digital Lending,P2P / Marketplace Consumer Lending,2013,2013,Private,Latvia,United States,6,,,,Active
Doare,Digital Capital Raising,Donation-Based Crowdfunding,2012,2012,Private,Brazil,Brazil,6,,,,Active
DocBoyz,"Digital Identity, Enterprise Tech Provisioning, RegTech","KYC Solutions, API Management, Risk Analytics",2018,2019,Private,India,India,201-500,,,,Active
Doconomy,"WealthTech, Digital Payments, Digital Savings","Personal Financial Management / Planning, Money Transfer (P2P / P2B / B2P / B2B), Digital Micro Saving Solutions, Education and Training",2018,2018,Private,Sweden,Sweden,Nov-50,,,,Active
Dodore,Enterprise Tech Provisioning,"Enterprise Blockchain, Application development",2020,2013,Private,Netherlands,Kenya,51-200,,,,Active
Doku,Digital Payments,"Points of Access (PoS / mPoS / Online PoS), Money Transfer (P2P / P2B / B2P / B2B), Payment Gateways, eMoney Issuers, Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P)",,2007,Private,Indonesia,Indonesia,Nov-50,,,,Active
DomaCom,Digital Capital Raising,Real Estate Crowdfunding,2011,2012,Public,Australia,Australia,Nov-50,,,,Active
Donadora,Digital Capital Raising,Donation-Based Crowdfunding,2016,2016,Private,Mexico,Mexico,10-Jan,,,,Active
Donatekart,Digital Capital Raising,Donation-Based Crowdfunding,2016,2016,Private,India,India,6,,,,Active
Donorbox,"Digital Capital Raising, Digital Payments","Donation-Based Crowdfunding, Payment Aggregators",2015,2014,Private,United States,United States,Nov-50,,,,Active
DonorsChoose,Digital Capital Raising,Donation-Based Crowdfunding,2000,2000,Private,United States,United States,176,,,,Active
Donr,"Digital Payments, Digital Capital Raising","Money Transfer (P2P / P2B / B2P / B2B), Donation-Based Crowdfunding",2016,2016,Private,United Kingdom,United Kingdom,12,,,,Active
Doopla,Digital Lending,P2P / Marketplace Consumer Lending,2015,2014,Private,Mexico,Mexico,6,,,,Active
DotPe,Digital Payments,"Points of Access (PoS / mPoS / Online PoS), Application development",2019,2019,Private,India,India,,,,,Active
Double Impacto,Digital Lending,P2P / Marketplace Business Lending,2016,2016,Private,Chile,Chile,,,,,Active
Downing Crowd,Digital Lending,Debt-Based Securities,1986,2016,Private,United Kingdom,United Kingdom,,,,,Active
Dozens,"WealthTech, Digital Savings, Digital Payments, Digital Banks","Personal Financial Management / Planning, Digital Micro Saving Solutions, eMoney Issuers, Fully Digitally Native Bank (Retail)",2018,2018,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
DPO Group,"Digital Payments, Enterprise Tech Provisioning, Digital Lending, RegTech, Digital Identity","Payment Gateways, Points of Access (PoS / mPoS / Online PoS), Money Transfer (P2P / P2B / B2P / B2B), Payment processor, Bulk Payment Solutions, Financial Management & Business Intelligence, Electronic Invoicing, Merchant Cash-Advance, Risk Analytics, Fraud Prevention & Risk Management",2012,2006,Private,Ireland,Kenya,201-500,,,,Active
Dream Wallets,Digital Capital Raising,"Reward-Based Crowdfunding, Donation-Based Crowdfunding",2015,2014,Private,India,India,30,,,,Active
Dreamaker,Digital Capital Raising,Equity-Based Crowdfunding,2018,2020,Private,Thailand,Thailand,10-Jan,,,,Active
DreamOval,Digital Payments,"Acquiring Services Providers for Merchants, Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P), Money Transfer (P2P / P2B / B2P / B2B), API Hubs for Payments",,2007,Private,Ghana,Ghana,Nov-50,,,,Active
Dreamquark,Enterprise Tech Provisioning,"AI / ML / NLP, Financial Management & Business Intelligence",2014,2014,Private,France,France,Nov-50,,,,Active
Dreams ,"WealthTech, Enterprise Tech Provisioning","Personal Financial Management / Planning, Cloud Computing, API Management",2014,2016,Private,Sweden,Sweden,51-200,,,,Active
Drip Capital,Digital Lending,Invoice Trading,2014,2014,Private,United States,United States,51-200,,,,Active
DriverUp,Digital Lending,P2P / Marketplace Consumer Lending,2012,2012,Private,United States,United States,30,2019,,,Inactive
DriveWealth ,"WealthTech, Digital Savings, Enterprise Tech Provisioning, Digital Capital Raising","Digital Wealth Management, Robo-Advisors, Robo Retirement / Pension Planning, Digital Micro Saving Solutions, API Management, Financial Management & Business Intelligence, Capital Raising Retail Brokerage, Capital Raising Institutional Brokerage",2012,2014,Private,United States,United States,201-500,,,,Active
DSX,Cryptoasset Exchange,Order-Book,2014,2015,Private,United Kingdom,United Kingdom,,,,,Active
Du Xiaoman Financial,"Digital Lending, Enterprise Tech Provisioning, Digital Identity, WealthTech","Balance Sheet Consumer Lending, AI / ML / NLP, Cloud Computing, Enterprise Blockchain, Fraud Prevention & Risk Management, Digital Wealth Management",2015,2018,Decentralised autonomous,China,China,1001-5000,,,,Active
Duha Syariah,Digital Lending,P2P / Marketplace Consumer Lending,2018,2019,Private,Indonesia,Indonesia,51-200,,,,Active
duithape,Digital Payments,"Money Transfer (P2P / P2B / B2P / B2B), Digital Remittances (Domestic-P2P)",,2017,Private,Indonesia,Indonesia,Nov-50,,,,Active
Duitku,Digital Payments,Payment Gateways,,2015,Private,Indonesia,Indonesia,51-200,,,,Active
Dumi,Digital Lending,Balance Sheet Consumer Lending,2018,2018,Private,Indonesia,Indonesia,,,,,Active
Dunamu,"Enterprise Tech Provisioning, Cryptoasset Exchange, WealthTech","Cloud Computing, AI / ML / NLP, Enterprise Blockchain, Order-Book, Digital Wealth Management",2012,2014,Private,"Korea, Rep.","Korea, Rep.",51-200,,,,Active
Dune Analytics,Cryptoasset Exchange,"Aggregation, Network statistics, Industry research",2018,2018,Private,Norway,Norway,10-Jan,,,,Active
Duocaitou,Digital Capital Raising,"Equity-Based Crowdfunding, Real Estate Crowdfunding",,2015,Private,China,China,,,,,Active
Durise,Digital Capital Raising,Real Estate Crowdfunding,2014,2015,Private,United Arab Emirates,United Arab Emirates,6,,,,Active
DusuPay ,Digital Payments,Payment Gateways,2015,2015,Private,United Kingdom,Uganda,Nov-50,,,,Active
DV Trading,Cryptoasset Exchange,"Market Making, Institutional Brokerage Services, Single Dealer Platform / OTC Trading, Lending / Borrowing",2005,2017,Private,Canada,United States,,,,,Active
Dvara E-registry,Enterprise Tech Provisioning,"AI / ML / NLP, Financial Management & Business Intelligence",2019,2019,Private,India,India,Nov-50,,,,Active
Dvara SmartGold,Digital Savings,Digital Micro Saving Solutions,2019,2019,Private,India,India,Nov-50,,,,Active
Dvara Solutions.,Enterprise Tech Provisioning,Financial Management & Business Intelligence,2017,2017,Private,India,India,Nov-50,,,,Active
Dwellxchange Inc.,Digital Capital Raising,Real Estate Crowdfunding,2015,2015,Private,United States,United States,6,,,,Active
DWOLLA,"Digital Payments, Enterprise Tech Provisioning, Digital Identity","API Hubs for Payments, Financial Management & Business Intelligence, KYC Solutions",2012,2010,Private,United States,United States,51-200,,,,Active
DX.Exchange,Cryptoasset Exchange,Order-Book,2017,2018,Private,Estonia,Estonia,,2019,,,Inactive
Dydon,"Digital Identity, RegTech, Enterprise Tech Provisioning","KYC Solutions, Dynamic Compliance, Regulatory Reporting, Risk Analytics, Profiling & Due Diligence, AI / ML / NLP, Financial Management & Business Intelligence",2016,2016,Private,Switzerland,Switzerland,10-Jan,,,,Active
Dyme,WealthTech,Personal Financial Management / Planning,,2018,Private,Netherlands,Netherlands,Nov-50,,,,Active
E-Tranzact,Digital Payments,"Payment Gateways, Digital Remittances (Cross Border-P2P), Points of Access (PoS / mPoS / Online PoS), Mobile Money",2003,2003,Public,Nigeria,Nigeria,201-500,,,,Active
EAERA ,"Enterprise Tech Provisioning, RegTech, Digital Identity","Financial Management & Business Intelligence, AI / ML / NLP, Risk Analytics, Regulatory Reporting, Security & Biometrics, KYC Solutions, Fraud Prevention & Risk Management, Education and Training",2018,2015,Private,Cyprus,Montenegro,Nov-50,,,,Active
EarlySalary,Digital Lending,Balance Sheet Consumer Lending,2015,2015,Private,India,India,51-200,,,,Active
earn.com,Digital Payments,Money Transfer (Cryptoasset),2013,2013,Private,United States,United States,,2018,,,Inactive
Earnest,Digital Lending,Balance Sheet Consumer Lending,2013,2014,Private,United States,United States,176,,,,Active
Earnix,"Enterprise Tech Provisioning, InsurTech","Financial Management & Business Intelligence, AI / ML / NLP, IoT (including Telematics), Usage-Based Insurance",2001,2002,Private,Israel,Israel,201-500,,,,Active
EarnWealth,"WealthTech, Digital Lending, InsurTech","Digital Wealth Management, P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending, Digital Brokers or Agents",2014,2014,Private,India,India,Nov-50,,,,Active
Earthport,Digital Payments,Money Transfer (Cryptoasset),1997,2016,Public,United Kingdom,United Kingdom,200,2019,,,Inactive
